Ежемесячный платеж	Срок кредитной истории (лет)	Срок с последнего нарушения кредитного договора (мес,)	Количество кредитных карт	Текущий баланс кредитов	Максимальный выданный кредит	Число нарушений кредитных договоров	Кредитный рейтинг	Годовой доход	Размер кредита			Ежемесячный платеж	Срок кредитной истории (лет)	Срок с последнего нарушения кредитного договора (мес,)	Количество кредитных карт	Текущий баланс кредитов	Максимальный выданный кредит	Число нарушений кредитных договоров	Кредитный рейтинг	Годовой доход	Размер кредита
42985,22	21,5	4	14	237500,00	562386,00	1	657	4 776 125	389884												
12778,26	6,4		9	66025,00	138248,00	1	678	719 910	163966												
22228,86	16,1	11	19	201780,00	613228,00	0	736	1 010 401	433312												
21494,89	10,5	54	16	321214,00	478060,00	0	737	2 015 159													
9393,98	13		14	232674,00	1353858,00	0	748	1 875 680													
13312,92	19		6	127946,00	216260,00	0	748	1 832 075	89320												
10396,42	12	10	11	35663,00	242946,00	0	688	974 662	392282												
15292,34	11,8		9	373350,00	522742,00	0			444620												
9348,38	28,2	35	9	499548,00	681296,00	0	743	1 340 279	262988												
32214,88	12,2		15	205637,00	433686,00	0	666	1 351 679	498586												
35695,30	17	24	12	75335,00	413402,00	0	714	2 120 514	378334												
15365,68	44,5	31	8	25441,00	1841796,00	0	734	1 355 802													
25254,99	27,4	19	13	176396,00	339834,00	1	742	1 212 238	194942												
13429,96	20,4	65	18	563008,00	1070432,00	0	705	1 377 443	731566												
22659,59	22,4	41	13	807462,00	1391302,00	0			479358												
6652,47	29,1		8	277419,00	1119250,00	0			336908												
15649,92	31,3		22	648850,00	3996322,00	0			270116												
22591,38	18	73	10	38456,00	251548,00	0	748	1 411 966	156772												
11157,37	17,5		10	200127,00	387508,00	0			306548												
35360,14	17,9	24	22	160550,00	685982,00	0			432080												
8522,83	31,3	60	13	260072,00	756646,00	2	731	315 666	158818												
14034,92	10,5	15	14	138586,00	266112,00	0	624	536 370	78738												
17007,85	14,2	77	12	137845,00	222926,00	1	712	895 147	453464												
13603,43	25,9		8	108148,00	129624,00	0	685	1 305 927	595672												
16166,91	16	18	10	167656,00	267014,00	0	705	1 048 667	166672												
6132,25	14,7		5	61199,00	214742,00	0	751	668 990	132792												
11807,17	13	9	11	32300,00	104170,00	0	745	938 315	119504												
25234,47	23,3	80	13	125609,00	323928,00	0	723	1 673 007	33022												
10348,16	19,7		7	486001,00	1253340,00	0	742	4 071 396	448976												
17447,89	10	70	10	168169,00	470360,00	1	717	671 080	280588												
19524,40	19,5	38	5	317338,00	389246,00	0	714	1 402 960	556336												
52733,36	17,9	35	13	356288,00	619432,00	0	722	1 682 982	541310												
28191,06	12,2		10	391723,00	591338,00	0	680	1 063 810	311872												
21205,52	14,4		5	291137,00	368808,00	0	618	928 701	340604												
34582,47	20,5	47	19	249755,00	489302,00	0	719	2 643 242	765160												
1497,39	11		2	91048,00	186604,00	0	745	474 069	109802												
23258,28	21,5		7	270332,00	660396,00	0	737	2 491 945	349756												
41477	15	6	16	80465,00	296714,00	0	718	1 565 182	545886												
31257,66	12,3		10	72276,00	1073028,00	0	750	2 435 667													
5522,16	13	6	6	20976,00	70840,00	0	676	1 815 469	354046												
24517,22	28,2		9	454176,00	968506,00	0	692	2 316 575	472098												
10884,91	13,6	82	15	360867,00	671770,00	0	721	837 311	86174												
26180,67	13,9	74	32	115672,00	319638,00	1	678	1 816 001	509586												
29348,92	16,1	25	22	492556,00	724680,00	0	709	1 806 083													
8141,88	14,9	9	5	100206,00	186230,00	0	740	775 409	218988												
14223,59	26,5		7	171703,00	1080552,00	0			176462												
20411,32	10,2		10	229463,00	472758,00	0	746	1 133 958	328262												
22145,83	17	32	8	331075,00	543774,00	0	732	1 527 296	663168												
12144,04	16,9		9	321157,00	419232,00	0			338030												
30975,51	7	0	9	76,00	85998,00	0			446094												
9117,34	12,5		10	111568,00	243760,00	0	709	804 460	133078												
18706,64	15,9		10	207423,00	1171566,00	0			278058												
17224,07	10,7		8	57000,00	150678,00	0	742	1 359 792													
39252,86	13,4	16	13	431053,00	513502,00	0	649	2 320 375	752290												
8046,88	10,7	75	15	69179,00	238370,00	0	734	622 991													
18234,11	20,7	7	13	220894,00	846890,00	0			105556												
21508,76	21,8		5	337725,00	394218,00	0	695	1 229 072	262724												
2655,06	9		6	19988,00	282260,00	0	744	485 697	54076												
23770,71	23,4	48	13	299706,00	694056,00	0	686	1 262 151	552882												
13740,99	15,7		11	191159,00	274626,00	0			257400												
17759,30	14,8		13	627418,00	1603712,00	0			462088												
21330,92	20,5	6	13	1220978,00	5396072,00	0			460152												
23639,80	19,6	6	15	691467,00	1332188,00	0	741	3 090 160	402534												
16120,17	14,2		10	110618,00	212058,00	0			129844												
12942,99	9,5	61	20	226442,00	389026,00	0	637	1 049 427	232716												
27378,62	15,7	75	10	177916,00	335522,00	0	719	1 380 426	286462												
6774,64	34,4	7	13	308142,00	587818,00	0	740	804 916	223256												
3257,36	13		4	90022,00	167860,00	0	704	497 306	348832												
24963,53	18,4	70	12	249223,00	515306,00	0	743	1 296 807	537878												
15160,10	23,5		8	138700,00	410718,00	0	746	942 590	196460												
11924,97	14,3	79	5	154755,00	193314,00	0	723	883 329	214786												
5770,68	14,3	62	10	86716,00	151206,00	0	697	567 606	109538												
21678,81	31,4		9	254030,00	720918,00	0			259116												
3207,77	12	19	7	80408,00	351296,00	0	694	1 886 890	117986												
16756,48	13,6		11	105450,00	260898,00	0	725	1 386 734	133804												
6988,96	50,1	56	16	96330,00	714978,00	0	736	625 879	87846												
12702,26	14,5		9	472226,00	640266,00	0	722	881 087	332684												
8996,12	13,2	64	6	88160,00	117744,00	0	706	892 164	190498												
21576,40	33,1		8	669028,00	981838,00	0	741	1 027 444	448822												
6543,79	23,9	36	7	71231,00	152460,00	1	715	787 626	229086												
22015,30	14,7	27	8	124184,00	145552,00	0	678	2 317 392	393558												
14341,77	12,5		9	107692,00	219142,00	1	707	562 419	151954												
7125	13,5	39	7	165984,00	286440,00	0	726	1 153 851													
13549,66	17,5		13	261383,00	743600,00	0	738	669 123	254562												
3432,73	43,3	42	9	86051,00	301026,00	0	750	960 184	87912												
8617,64	12	33	9	6194,00	108790,00	5	716	1 124 040	156178												
40386,97	24		21	640376,00	1468302,00	0	737	2 692 471	645018												
43610,70	23	59	10	378423,00	475772,00	0	748	3 609 145	605726												
9041,34	16,2		4	95855,00	116468,00	0	741	1 288 523													
11762,14	17	30	9	128041,00	273042,00	0	702	688 522	168300												
10547,47	15	55	14	55176,00	443586,00	0	723	1 318 429	174460												
19264,67	29,2	30	6	421420,00	559592,00	0	651	1 651 252	768394												
34959,43	18,2	54	10	662815,00	969034,00	0	723	2 638 454	314226												
23172,21	44	48	16	858154,00	1344574,00	0	723	1 224 968	64966												
13400,32	17,9	37	7	179721,00	338932,00	0	730	833 188	300366												
12808,28	15		6	61788,00	202092,00	1	736	1 138 518	263648												
14152,91	21		11	210045,00	299156,00	1	725	1 048 363													
31765,72	10	24	9	168815,00	228624,00	0	718	1 934 960	716958												
12859,01	15,6		6	390621,00	468204,00	0	712	982 870	459602												
32264,85	22,7		13	338181,00	594198,00	0	708	1 155 751	405856												
9758,40	13,8	58	6	435328,00	790064,00	0	710	1 125 978	547580												
2594,45	30,5	68	4	70832,00	96470,00	0	698	1 136 238	175428												
6446,89	8,2		10	239970,00	551320,00	0			216370												
11849,54	18,4		9	46341,00	496870,00	1	743	756 352													
3676,69	14,1	7	4	86051,00	167750,00	2	689	866 799	234806												
6377,16	7,1	35	5	8189,00	47432,00	0	685	742 976	25806												
10855,08	6,6		9	220571,00	498828,00	0	735	957 790	332706												
13110,76	14,6	22	10	173128,00	384032,00	0	703	1 300 246	333124												
24017,52	17,8		14	678851,00	2245848,00	0	747	2 305 669	441276												
9271,81	15,8		6	245727,00	292732,00	0	707	830 319	327756												
16577,88	13,5	77	8	378746,00	594242,00	0	736	1 111 367													
18241,52	13,4	11	6	91580,00	214654,00	0	707	1 403 207	476586												
7319,18	16,9		17	169100,00	621610,00	1			263450												
21087,72	16,5	45	8	178220,00	274780,00	0	738	1 488 536	261800												
17969,44	17,6		16	355471,00	426514,00	0	682	1 178 323	433136												
16915,32	17,8		10	205865,00	341506,00	0	716	1 020 034	322124												
22176,61	13,5		7	107483,00	197868,00	0			107536												
13237,11	13,7		6	297293,00	397518,00	1			355410												
5993,55	21,5		7	326496,00	562584,00	0	749	2 683 693	437668												
17068,08	36,3	16	8	358549,00	494824,00	0	740	1 288 162	377322												
24079,46	22,5		8	168378,00	332156,00	1	693	1 395 911	606122												
17013,17	15		12	267976,00	475178,00	0	724	1 031 111	520982												
28960,18	19,7		9	314830,00	619982,00	0	746	1 202 510	304590												
22218,03	16,1		13	392369,00	542146,00	0	732	1 075 058	472362												
10895,17	17,5		7	106894,00	357698,00	0	708	985 245	322872												
18723,17	8,6		14	163571,00	539572,00	0	727	841 491	149402												
4446,19	13,9		13	129827,00	316492,00	0	737	1 330 513	150458												
6896,62	16		10	207860,00	429044,00	0			268268												
10327,83	13,3		11	81377,00	110858,00	0	712	751 108	341352												
16305,80	17,4		11	316331,00	638088,00	0	737	2 053 216	432256												
5948,71	9		10	59888,00	372746,00	1	645	825 246	301114												
13459,03	15,5		13	159315,00	317526,00	0	718	761 824	79398												
6734,17	11,8		12	330714,00	558228,00	0	724	612 199	171842												
21601,48	13		19	332576,00	683980,00	0	715	1 515 896	329120												
22612,47	14,9	14	18	407835,00	821282,00	0	707	1 654 577	486288												
22559,08	20	32	10	116223,00	195580,00	1	691	853 974	104368												
31647,73	22,3	15	6	195738,00	251284,00	0	717	1 898 860	205854												
4598,76	17,8	51	4	179037,00	329582,00	0	673	280 136	96690												
18762,12	20,4	47	9	283936,00	465674,00	0	733	1 154 592	111408												
15202,66	14	36	12	182780,00	366146,00	0	700	1 054 519	284152												
15110,51	10,2		9	392730,00	639584,00	1	714	1 259 206	269170												
18171,98	10,8		5	95171,00	112574,00	0	700	1 380 160	149116												
7522,29	18,7		11	295944,00	835802,00	0	731	745 997	396792												
8381,85	30,9	38	4	36708,00	64372,00	0	719	1 483 520	128832												
4450,94	14	8	5	119510,00	229086,00	1	743	678 661	152790												
10845,96	17,1	41	13	82593,00	302654,00	0	708	1 334 902	152966												
6223,45	15		7	81016,00	198352,00	0	741	666 805	292292												
19039,71	16,3		8	367992,00	510290,00	0	658	1 057 768	449460												
7352,62	4,9		6	109687,00	182226,00	0	716	580 469	86724												
42060,68	27,4		11	679725,00	927014,00	0			67166												
7684,74	17,3		8	87609,00	301928,00	0			223850												
23640,18	21,4		9	606461,00	1141800,00	0	742	1 639 776	763840												
11711,60	11,9	53	12	18639,00	107932,00	0	699	564 414	83864												
6530,49	11,1	49	4	18715,00	37620,00	0	724	687 420													
16246,71	17,2	16	9	53694,00	112662,00	0	750	654 227	142846												
33528,54	22,6		6	334780,00	441518,00	0	720	1 906 840	551980												
4100,20	16	1	7	167827,00	397408,00	0	685	3 874 100	504658												
3848,07	11,7	60	10	30552,00	198682,00	0	699	656 849													
5027,59	10,3		8	94221,00	172062,00	0	709	843 771	177628												
30547,82	13,8		13	137997,00	504086,00	0	739	1 004 321													
15356,37	20,5		13	326857,00	650276,00	0	715	975 004	398464												
32041,22	18,5	21	14	628425,00	1017698,00	0	737	1 724 193	732028												
18931,03	16,7		17	452713,00	927762,00	1	722	1 634 323	660132												
12723,73	10,2		12	30590,00	492008,00	0	748	1 024 727	25894												
35698,91	21,5	47	17	305349,00	657184,00	0			553366												
47284,16	15,9	81	13	588449,00	703142,00	0	657	2 093 762	77132												
9891,40	8,7	16	9	76133,00	134178,00	0	695	463 657	128634												
34060,73	11,1	37	20	387353,00	1520398,00	0	735	1 816 571	429264												
2696,86	9,9	31	8	77520,00	255684,00	0			131032												
3640,78	19,2		5	132088,00	378576,00	0	729	1 624 082	427988												
10788,39	23		10	225663,00	588522,00	0	737	779 893	204248												
29309,21	21,3	53	9	294291,00	548724,00	0	722	2 068 891	653334												
6331,56	17		5	79192,00	230428,00	4	724	1 409 610	226336												
20376,17	17,8		4	12084,00	19800,00	0	735	1 520 608													
19006,65	10,7		14	321670,00	955042,00	0	722	897 959	216612												
9142,80	17,6	26	10	202616,00	239888,00	0	728	602 832	218130												
31269,06	22,2		10	403028,00	1515118,00	0			449768												
33879,85	28,8		15	280687,00	409838,00	1	738	1 378 165	431288												
12766,67	33,7	64	9	300029,00	557634,00	0	674	1 538 145	541794												
19339,72	14,9	20	17	306907,00	504064,00	0	746	1 166 220	448404												
15069,09	15,4		10	404073,00	609994,00	0	709	848 958	117854												
55072,83	27		16	734597,00	1466542,00	0	654	2 551 643	537196												
11397,34	18,8	29	11	185478,00	259402,00	1	715	865 602	196108												
12254,05	11,4		6	41876,00	119416,00	0	744	1 205 322	337656												
34469,61	16	46	5	58482,00	90530,00	0			441628												
16289,08	23	24	7	115558,00	157432,00	0	716	1 045 285	448272												
20455,02	17,5		13	363983,00	629970,00	0			581592												
2122,49	14,9		3	58463,00	119592,00	0	733	233 681	63140												
24111	17,4		8	100624,00	236830,00	0	719	1 157 328	223344												
13623,76	22,2		19	387315,00	2156110,00	0	744	1 054 747	436172												
12610,11	16,5		7	116793,00	426602,00	0	735	678 566	157146												
18537,35	22,5		9	486248,00	578666,00	0	716	2 815 781	178046												
12757,55	15,9	45	9	93347,00	195448,00	0	721	805 733													
2481,02	18,8	56	5	0,00	0,00	0	746	456 646													
8081,46	13,7	14	5	96463,00	174240,00	1	720	1 077 528	216194												
23782,11	15,4		13	400178,00	716188,00	0	739	1 448 655	430100												
12426	13,1		8	478021,00	684178,00	0	738	1 263 652	562760												
22042,47	29,1		10	387714,00	464266,00	0			215006												
8831,01	15,2	48	25	144172,00	415250,00	0			325622												
10037,70	11,1		11	320834,00	518144,00	0	686	576 327	118998												
25635,75	11,7		15	271928,00	1363098,00	0	749	1 636 318	334356												
20139,43	16		10	119586,00	422180,00	1	725	1 632 936	266926												
4925,37	11,4	20	6	115862,00	296780,00	0	681	573 819	224796												
15059,97	15,3	39	6	58482,00	101376,00	1	725	1 263 785	401852												
26895,83	16,5		12	79686,00	262108,00	0			309540												
13667,27	15,9	51	6	65683,00	109758,00	0	693	1 115 699	273482												
21047,44	21,2	31	14	546782,00	924242,00	0	723	1 640 061	323708												
2550,94	20,8	35	11	38532,00	241142,00	0	696	993 833	88528												
12209,21	14,1		17	300048,00	569536,00	0			249568												
9145,08	14,7		11	39026,00	122144,00	1	713	606 290													
17525,79	9,7		13	219849,00	587884,00	0			416834												
30290,18	11,5		20	104291,00	377366,00	0	697	2 202 917	110902												
14180,08	17,6	55	10	130131,00	251108,00	0	727	855 095	132022												
29465,58	15,7	63	11	66994,00	129294,00	1	707	1 118 948	277948												
14779,72	20,6	37	11	281618,00	939708,00	0	748	2 233 697	219186												
19514,14	20,7	45	11	192337,00	281534,00	0	739	1 176 727	178684												
7380,17	19	56	10	71953,00	108504,00	1	743	1 312 045	108526												
16960,54	15,9		7	170563,00	339922,00	0			222156												
18479,59	22,5	41	19	592249,00	864754,00	0	676	1 167 132	205524												
16196,74	17		17	202540,00	1061170,00	0	746	968 905	134618												
4842,53	9,3		7	162564,00	341000,00	0	694	301 093	94974												
39286,68	14,8		9	621585,00	906466,00	0	668	1 468 662	523248												
15284,36	16,3	71	17	428963,00	1118722,00	0	687	1 491 158	588544												
14656,60	19,9	8	6	125742,00	224334,00	0	725	2 229 137													
35750,40	42,4	69	17	381995,00	785598,00	2			319330												
10025,16	17,8	14	8	57570,00	169620,00	0	742	629 850	391468												
15472,27	22,8	53	11	480434,00	881606,00	0	737	1 054 937													
21386,40	35		16	351329,00	799216,00	0	736	1 343 642	432168												
26568,46	26,5	7	12	252871,00	603702,00	0	676	1 235 741	628474												
28543,70	12,5		11	469604,00	849618,00	0	659	1 115 718	513524												
5780,94	24,1	43	11	369170,00	1978966,00	0	736	6 606 775	765006												
13227,04	12,5	18	12	151791,00	201322,00	0	716	1 051 175	141636												
2498,50	15,5		5	71459,00	220044,00	0	750	931 095													
12647,73	23		12	445721,00	757834,00	0	740	1 707 207	130328												
16049,11	13,3		9	318839,00	818576,00	0	718	1 160 178	268664												
75878,02	43,3		19	834784,00	1378872,00	0			753368												
33722,91	16,7	22	28	328054,00	895906,00	2	696	1 264 602	448712												
12284,45	20,5	58	15	406220,00	863060,00	0	742	963 490	334686												
27041,75	19,5	31	18	247342,00	667568,00	1			125004												
1873,40	10,5		3	92378,00	122958,00	0	728	311 372													
41396,25	18		9	522690,00	745338,00	0			242616												
7983,80	36,4		7	184490,00	240856,00	0	742	748 486	175076												
7256,67	13,5		15	263321,00	671572,00	0	744	576 688	107712												
17466,51	13,3		8	492841,00	640464,00	0	744	1 053 265	155210												
15088,09	16,6		8	202084,00	403458,00	0	747	914 432													
20262,93	14,7	45	10	135641,00	358556,00	1	618	6 283 072	712404												
35221,06	17,2		17	579158,00	1086866,00	0	676	2 212 835	753610												
8539,55	29,2		11	9842,00	1425820,00	0	748	1 603 657	154748												
13480,50	9		12	138377,00	222838,00	0	720	1 057 293	251416												
34869,75	30,6	50	15	425448,00	1089902,00	0	705	1 603 220	764390												
20639,13	11,9	74	9	76551,00	284130,00	0			215006												
18626,27	17,9	64	4	317338,00	433818,00	0	647	1 405 772	616902												
23263,41	31,5	10	14	371051,00	1053052,00	0	716	2 848 575													
16174,89	14,1		19	450908,00	1549284,00	0	743	773 300													
6497,05	21,2	8	5	806379,00	2074886,00	0			447788												
7426,15	12,8	5	14	117211,00	622534,00	0	710	598 082	170962												
25442,14	14,8	13	9	607202,00	730092,00	0	704	1 160 862													
22936,80	23,3	35	19	427025,00	1242340,00	0			340362												
11733,07	23,8	42	9	293683,00	717420,00	0	746	891 119	332222												
10988,84	24,5		13	418133,00	1315666,00	0	733	1 803 936													
17081,57	20,7	33	11	176567,00	276298,00	0	743	1 496 193													
4157,20	15,6	69	3	150822,00	219956,00	0	676	1 292 380	440132												
14597,13	20,7	51	11	71212,00	91916,00	0			403414												
10706,50	13,7	40	13	86507,00	770440,00	0	729	1 555 416	112574												
3407,08	14,2		9	112727,00	725098,00	0	741	825 968	88198												
17685,96	25,5	31	10	300789,00	657118,00	1	703	1 697 859	764544												
14080,33	38,5		7	252320,00	1047200,00	0	741	1 056 039	224642												
7573,59	15,9	36	4	148960,00	238898,00	1	683	1 117 865	446336												
20342,16	17,4		8	309054,00	503316,00	0	732	1 585 113	447656												
24334,82	15,6		9	74214,00	767272,00	1	675	1 438 509	261910												
40670,64	24,4		14	620996,00	1461482,00	0	715	2 302 116	746372												
25030,22	22,5	76	19	532589,00	828872,00	0	670	981 578	146982												
30270,61	21,6	72	18	342209,00	589644,00	0	699	1 853 298	533698												
12437,59	16,9		13	413060,00	582560,00	0			316514												
35960,92	12,1		17	580203,00	917774,00	0	623	2 094 807	563068												
6447,65	12,4		9	216809,00	318186,00	0	711	564 756	163482												
6457,15	13,2		5	327541,00	780384,00	0	744	954 275	173316												
6969,39	15,4	22	10	68742,00	151910,00	0	639	347 035	133936												
4799,40	10,1		8	72257,00	172128,00	0	747	185 782	64526												
3070,97	12,8	12	10	48051,00	60764,00	0	671	835 620	47806												
10640,95	16,7	47	7	136154,00	248270,00	0			131934												
8573,56	12,9	36	20	88939,00	357588,00	0	748	463 429	147576												
27881,93	18,1	39	15	163020,00	215974,00	0	699	3 954 888	545160												
24031,01	11,3	40	12	405327,00	811998,00	0	691	2 270 652	657294												
35945,53	9,2		6	457710,00	1130008,00	0	715	3 369 897	780406												
32037,42	20,5	34	14	198094,00	749606,00	0	743	2 688 462													
7391,57	17,9		2	3382,00	4334,00	0	708	897 769	43318												
7794,75	7,5		9	193781,00	358446,00	1	723	502 892	44792												
15793,37	18,2	14	11	348878,00	738496,00	0	738	992 256													
41434,06	14,6		8	91979,00	132484,00	0	699	3 336 970	772772												
21410,53	23	75	15	309776,00	1203664,00	0	750	867 996	268004												
34895,78	19,6	63	24	481783,00	950334,00	1	687	1 629 383	776864												
8766,22	16,4		4	146262,00	234586,00	0	614	821 826	273856												
13412,86	11,8		10	49153,00	178948,00	2	713	572 793	33154												
31506,37	20,2		12	332918,00	687126,00	0	746	1 166 904	450384												
13213,17	17,5	64	8	302309,00	562782,00	1	699	1 258 389	662310												
13659,67	9,8	41	9	117496,00	242968,00	0	712	823 707	353232												
17344,72	14,2		11	139897,00	217448,00	0	734	950 399													
9386,57	12	13	19	117420,00	229658,00	0	741	954 560	221056												
472,15	23,6		6	15333,00	322806,00	1			76340												
51380,56	14,6		43	979526,00	1543102,00	0	667	2 250 246	469678												
41017,20	21	19	15	288002,00	508354,00	0	739	3 095 632													
35438,99	23,9	18	18	3528718,00	10189234,00	0	726	2 311 236													
15922	13		15	99788,00	687786,00	1	734	652 099													
17059,91	21,2		8	299725,00	778140,00	0	749	952 185	319726												
18796,89	27,2		9	547504,00	816948,00	0	736	888 041	460350												
18297,19	32,9	12	21	198911,00	342738,00	0	701	2 538 343	133606												
4372,66	8,9		11	110086,00	242792,00	0	741	230 147	79948												
20289,53	22,5	34	9	170601,00	302962,00	1			67298												
14118,71	16,8		6	167371,00	250074,00	0	731	1 629 098	767690												
11529,39	19,4		7	373958,00	600578,00	0	745	1 343 243	328350												
26665,74	10,6		5	305482,00	377102,00	0	657	969 665	380622												
12964,46	18	52	12	461415,00	907104,00	0	728	831 953	281710												
23935,63	16,6		18	232522,00	333608,00	1	704	1 201 788	418572												
18093,32	26,9		9	324539,00	650122,00	0			332552												
12226,50	16,1	19	10	159676,00	394218,00	0	749	874 874	161656												
13724,84	11,2		7	273182,00	266024,00	0	731	1 307 124													
4013,37	8,2		8	101042,00	259424,00	0	719	753 692	87274												
23213,82	18,6		8	333640,00	519244,00	0			456126												
